,,,,,,,,
,Weighted-Average Beta,,,,,,,
,,Beta,Weight,,,,,
,AAPL,0.608,2.96%,,,,,
,AMZN,1.552,9.52%,,,,,
,IWM,1.397,5.10%,,,,,
,KO,0.404,0.34%,,,,,
,LLY,0.962,7.37%,,,,,
,LMT,-0.516,1.81%,,,,,
,MSFT,0.296,12.59%,,,,,
,VOO,0.985,60.32%,,,,,
,Stocks Beta,0.931,55%,,,,,
,Portfolio Beta ,0.512,,,,,,
,,,,,,,,
,,,,,,,,
,Performance measure,,,,,,,
,,Portfolio,Market,,,,,
,Jensen Alpha,-3.16E-04,2.92E-04,,,,,
,Sharpe Ratio,-3.994,-0.053,,,,,
,Treynor Ratio,-0.065,-0.0005,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
